frame_ms,thresh_db,min_speech,min_sil,noise_margin,lat_med,lat_mean,barge_in_rate,overlap_ratio,n_caller,min_valid,mean_priority_r
30,-42,0.3,0.4,18,0.9276050405233711,0.9085709663875529,0.8563320704110489,0.8845723212391489,0.7931307059499706,282,0.8740422209022185
30,-46,0.2,0.1,12,0.9269916127767526,0.9156283605075036,0.8880062240769998,0.8687198394067976,0.8170326363608688,282,0.8832757346257847
30,-46,0.1,0.1,12,0.9269052036565042,0.9109241940224329,0.9152195560975162,0.8971478205112768,0.853898457776264,282,0.9008190464127989
20,-46,0.1,0.2,18,0.9233309155903776,0.904493964163785,0.9077285151165113,0.9135433331257761,0.8317953620177471,282,0.8961784180028394
30,-46,0.2,0.3,18,0.9228279713977023,0.9086868898715719,0.9039262996286932,0.9218396292103515,0.8355944591571373,282,0.8985750498530913
30,-38,0.3,0.4,18,0.9228058965905246,0.9003763862611618,0.8208297800807997,0.8347000605691897,0.6956552996476351,282,0.8348734846298621
20,-46,0.1,0.25,18,0.9227224759172035,0.900123301376695,0.9123380548490003,0.9234322324258264,0.8452824729591094,282,0.9007797075055668
30,-46,0.2,0.25,18,0.921497864168832,0.9033160983009696,0.8832561604933938,0.9014572575046256,0.7707578901671698,282,0.8760570541269981
20,-46,0.2,0.3,18,0.9210867021402012,0.9096336716845975,0.918071943171429,0.9325022500486779,0.8769109136646961,282,0.9116410961419203
30,-46,0.1,0.25,12,0.9209354404798876,0.9109471884781422,0.916594391081423,0.9058851265820709,0.8652929418950966,282,0.903931017703324
20,-46,0.3,0.4,18,0.9196984677222485,0.9179658247887942,0.9028822092586118,0.9328915853776854,0.871120626237171,282,0.9089117426769022
30,-46,0.1,0.2,12,0.919554098436061,0.910306591814011,0.9159353740052416,0.9011992395133308,0.8626851097391761,282,0.9019360827015641
30,-38,0.1,0.2,18,0.9192448590153878,0.8735126468643561,0.8146036452893128,0.7831415407634815,0.5681082469022094,282,0.7917221877669496
20,-46,0.1,0.4,18,0.9189787305139955,0.9213003222740097,0.9355991375143314,0.9478036743060212,0.9262320263150023,282,0.9299827781846719
30,-46,0.1,0.4,12,0.9188817848315469,0.9250877821262188,0.92532583134079,0.9102840048313574,0.8974384652806476,282,0.9154035736821122
20,-42,0.3,0.4,18,0.9188595293388662,0.9057843207974364,0.8724342313066027,0.8942505673447256,0.8127951548164313,282,0.8808247607208124
30,-42,0.1,0.25,18,0.918585584024515,0.8897170275590256,0.8671571038675551,0.8664574076484427,0.737415472852227,282,0.8558665191903531
20,-42,0.1,0.3,18,0.9185541998485808,0.9002060342024764,0.8936958553786032,0.8936845977097645,0.8492146600614713,282,0.8910710694401793
30,-46,0.3,0.2,18,0.9172861690374168,0.9051145742425657,0.8278936052593832,0.8342034849193185,0.6122613366568266,281,0.8193518340231021
20,-46,0.1,0.1,18,0.9160911373132643,0.8956121305017947,0.901670556726471,0.8872495551380315,0.7683516872202868,282,0.8737950133799697
20,-42,0.1,0.4,18,0.9156452223894112,0.9094276212898201,0.9033089719176692,0.9108559372444486,0.8902261874199217,282,0.9058927880522543
20,-46,0.2,0.4,18,0.9156181595244726,0.9196073068624788,0.9253593617808297,0.9446524311243578,0.9183900086533822,282,0.9247254535891043
30,-34,0.2,0.4,18,0.9152650598765939,0.8864203133961868,0.772885111177163,0.7723918590010463,0.6373727972197807,282,0.7968670281341541
30,-46,0.2,0.3,12,0.9152553032505334,0.9244514365154507,0.9081616074087039,0.90210709599494,0.8699936550805898,282,0.9039938196500437
30,-46,0.1,0.3,12,0.9151859628748785,0.9256410358837877,0.9239182033751928,0.907063788361904,0.8804180188028294,282,0.9104454018597185
30,-46,0.2,0.25,12,0.9148058351189744,0.9092466788102088,0.9007864998196683,0.8993466776817477,0.8420377957632177,282,0.8932446974387634
30,-30,0.1,0.4,18,0.9144989654626738,0.871934179339728,0.7867279668391431,0.73232471871621,0.5923139876731445,282,0.7795599636061799
30,-46,0.2,0.2,12,0.9144414227397117,0.9091772462828627,0.8957194321462295,0.8906408358975535,0.8315590278850797,282,0.8883075929902875
30,-42,0.1,0.4,12,0.9130051311667536,0.908392653907206,0.8911498640631219,0.8637391776855494,0.8556989303032163,282,0.8863971514251695
30,-38,0.1,0.1,18,0.9129902276372027,0.86917474345089,0.8156725310119304,0.7679845940012855,0.5290200492250655,282,0.7789684290652749
20,-42,0.2,0.4,18,0.9128619492836714,0.905762512163875,0.8869556442097811,0.9049508045244944,0.8658246603243179,282,0.895271114101228
20,-46,0.2,0.1,12,0.9126794777456659,0.8935757674614111,0.8874731252419219,0.8605844325421957,0.7797283998515973,282,0.8668082405685583
20,-46,0.2,0.2,18,0.912260854540688,0.8951594814892191,0.8843955977392338,0.900345130790534,0.7484738533637788,282,0.8681269835846906
30,-38,0.2,0.2,18,0.9120757403342168,0.8777107497653331,0.7654852557007475,0.7537199898110465,0.4617273374202184,281,0.7541438146063124
30,-46,0.2,0.4,12,0.9117567348846106,0.9264801230543097,0.9131844879954583,0.9074565380283979,0.8966856234285205,282,0.9111127014782593
30,-42,0.2,0.3,18,0.9114981511267823,0.8884669892761499,0.8663216434047948,0.8731596125192124,0.7521554473457037,282,0.8583203687345285
20,-46,0.2,0.25,18,0.9114896858783714,0.891784509223745,0.8942411688328507,0.9155293370753665,0.7823072798308054,282,0.8790703961682278
30,-42,0.2,0.25,18,0.9113278788841491,0.8786782301815945,0.8483813264681941,0.8539447401908768,0.6626934016552555,282,0.8310051154760141
30,-46,0.2,0.1,18,0.9112042655309535,0.9091774189867768,0.8545919079695213,0.8402649349067961,0.6732627534694963,280,0.8377002561727087
20,-42,0.1,0.2,18,0.9108666518912376,0.8741688346061904,0.8610775687083058,0.8638694005368049,0.7426996063580245,282,0.8505364124201126
30,-38,0.2,0.3,18,0.9104831143681075,0.8793296554094766,0.8043618990423381,0.8034791874976708,0.6087357453718192,282,0.8012779203378824
20,-38,0.1,0.3,18,0.9099727171870816,0.8808501721304989,0.8564271714302746,0.8416984554134238,0.746129598076866,282,0.847015622847629
30,-42,0.2,0.4,12,0.9093569999177239,0.9073918519316281,0.8781368268944688,0.858355805881227,0.8469087704584781,282,0.8800300510167052
20,-46,0.2,0.4,12,0.9087473699200803,0.9095352491823268,0.9146256336030704,0.9033654711348909,0.8650689794731533,282,0.9002685406627042
20,-42,0.1,0.25,18,0.9084080650604949,0.8694815496283536,0.8685851196657977,0.880498294338922,0.7657996630459998,282,0.8585545383479136
20,-42,0.2,0.3,18,0.9081279604813536,0.8887841979452314,0.8714867576287277,0.8819247270634735,0.7951163798605588,282,0.8690880045958691
30,-46,0.3,0.1,12,0.9075816063224065,0.8950814978145986,0.8086660986296375,0.819765695576296,0.7273239739876006,282,0.8316837744661079
20,-46,0.2,0.1,18,0.9073296148227556,0.9014641735185549,0.8534458635452161,0.8351997070778887,0.5905733481440055,281,0.8176025414216841
30,-42,0.2,0.1,12,0.9069646801918788,0.88408531685726,0.8278835818044036,0.8064487840258748,0.7201963818330608,282,0.8291157489424957
20,-38,0.3,0.4,18,0.9068402834734107,0.8888030937889244,0.8384997419381172,0.8498319235823546,0.7251413241350961,282,0.8418232733835807
20,-46,0.1,0.1,12,0.9057886995485176,0.8977585361319602,0.9116634716128222,0.8889089829781532,0.8284738212082106,282,0.8865187022959329
20,-38,0.1,0.4,18,0.9050584566716514,0.8955294917616569,0.8664072390375335,0.8678837703675755,0.8207864362181138,282,0.8711330788113061
20,-42,0.2,0.2,18,0.9034506562222712,0.864600942734362,0.8269040986084397,0.8405711796550918,0.6319858818763802,282,0.8135025518193089
30,-46,0.3,0.3,18,0.9033016124271651,0.8948335522495984,0.8719438786309543,0.9033519785596502,0.7824779659170112,282,0.8711817975568759
20,-46,0.2,0.3,12,0.9028283698324827,0.912406390324646,0.9106917214547244,0.9000896250061307,0.8496396751694388,282,0.8951311563574844
20,-46,0.3,0.3,18,0.9023519411813428,0.9021833199802197,0.8904642802465287,0.9157682503622794,0.8027507070819017,282,0.8827036997704545
30,-34,0.1,0.2,18,0.9018106851060054,0.8553270293515495,0.7912743153048389,0.7191663814786393,0.44907175749152944,282,0.7433300337465125
20,-38,0.2,0.4,18,0.9016667621040354,0.8895943698041175,0.8396264140453699,0.8564982822805365,0.7735924878264355,282,0.8521956632120989
20,-42,0.1,0.1,18,0.9013520491214432,0.8666846911640331,0.8538882550108106,0.8369082382288615,0.664449553695873,282,0.8246565574442044
30,-42,0.1,0.1,12,0.9011458324795523,0.8803711535126161,0.8683121497539199,0.8388296716665734,0.776510063260561,282,0.8530337741346445
30,-38,0.1,0.4,12,0.9008976264829939,0.8974022713502197,0.8449883358497372,0.8020416371494532,0.7851611260477757,282,0.8460981993760359
30,-34,0.1,0.3,18,0.9006407437631976,0.86624509225626,0.8073664888812119,0.7613404495295176,0.5778382221217828,282,0.782686199310394
20,-42,0.2,0.25,18,0.9004483670450063,0.8600592379743999,0.8413309076734721,0.8663321328703301,0.684985068944594,282,0.8306311429015605
30,-34,0.3,0.4,18,0.9002962520419026,0.876435839502841,0.7515950100090354,0.758911665898353,0.5886092632091892,282,0.7751696061322642
30,-42,0.3,0.2,18,0.9002334616979418,0.8822418717307154,0.7750694039210394,0.7642820455830047,0.4564937789240446,281,0.7556641123713492
20,-46,0.3,0.4,12,0.8996614290848911,0.8981671258572026,0.8890798104742258,0.8938461710896282,0.8466171642442478,282,0.8854743401500391
30,-42,0.2,0.1,18,0.8990737818683107,0.8872114455771091,0.8034242014728168,0.7809927572904577,0.5382595028041026,280,0.7817923378025593
20,-46,0.1,0.4,12,0.8987462982391382,0.9086681327872038,0.9243840920352783,0.9063077286813158,0.8712189924623623,282,0.9018650488410597
30,-38,0.1,0.25,18,0.8987398799059044,0.8592577864796734,0.8207675257571725,0.8083909226399141,0.6052201719784757,282,0.798475257352228
30,-46,0.3,0.4,12,0.8987256338057019,0.9172407576810089,0.8914612280567937,0.8965539573281134,0.8667805068949436,282,0.8941524167533123
30,-30,0.2,0.4,18,0.89852811273775,0.8653833100486211,0.7347869330138019,0.7181701085119628,0.5475852517947518,282,0.7528907432213775
30,-42,0.1,0.3,12,0.8977411225764778,0.9026789850097541,0.8850036369738125,0.8558920937683819,0.822051147633476,282,0.8726733971923805
20,-34,0.1,0.4,18,0.8977399525562588,0.8750522648659629,0.8204738929678486,0.7975802733154473,0.7190927994739278,282,0.8219878366358891
20,-38,0.2,0.3,18,0.8965949392395223,0.8687374961211725,0.8184483698069543,0.820361557265033,0.6706084846650432,282,0.814950169419545
30,-46,0.3,0.3,12,0.8964705003388316,0.9131820973722938,0.8783271022237089,0.8863715046797085,0.8323989551815413,282,0.8813500319592167
30,-46,0.3,0.25,12,0.8964487462280628,0.8978264081068653,0.867958390881696,0.879191833003101,0.7963583289119202,282,0.8675567414263291
30,-46,0.3,0.2,12,0.8963617127394656,0.8956543010951312,0.8542095366149445,0.8640393983061359,0.7760152754928833,282,0.8572560448497122
30,-42,0.3,0.4,12,0.8951284687807832,0.8961711277834568,0.8513518584284399,0.8451580897990758,0.8065597873831666,282,0.8588738664349844
30,-42,0.2,0.3,12,0.8948917643744498,0.8966489434162417,0.8639131172892951,0.8457516300226021,0.8008188048645719,282,0.860404851993432
30,-42,0.2,0.25,12,0.8941037850804288,0.8740236605067161,0.8574452417693555,0.8464596213908394,0.766048546995646,282,0.8476161711485972
30,-46,0.3,0.25,18,0.8938583837022911,0.8836626353643026,0.8555844620813863,0.8797581062357689,0.6945395782727604,282,0.8414806331313018
20,-46,0.1,0.25,12,0.8933710900470224,0.8960188123928577,0.916770844303789,0.9020259082807277,0.851293516018358,282,0.891896034208551
30,-42,0.1,0.25,12,0.893301066880729,0.8790969258835031,0.8771730044343165,0.8578107279654131,0.7987367525064307,282,0.8612236955340784
20,-42,0.2,0.1,18,0.8931779655667441,0.873920932783262,0.7858575563119006,0.7811647048695999,0.4784460234523977,281,0.762513436596781
20,-38,0.1,0.2,18,0.8930226475006401,0.8550514679304986,0.8242359405209461,0.8148818865711204,0.6281449143886958,282,0.8030673713823802
20,-46,0.3,0.2,18,0.8929851582854266,0.8778437080176583,0.836057443120298,0.866233189238566,0.6376219534298784,282,0.8221482904183655
20,-46,0.1,0.2,12,0.892952077664983,0.8967881634518462,0.9153710886493405,0.8961802637636348,0.8485019895156943,282,0.8899587166090998
20,-42,0.1,0.4,12,0.892814392446472,0.8924766052983985,0.8885860386457637,0.8601821032141407,0.835106151099499,282,0.8738330581408548
20,-46,0.1,0.3,12,0.8924668597251006,0.9116390283410235,0.9210288938176581,0.9043065120184062,0.8674338657102004,282,0.8993750319224778
30,-42,0.2,0.2,12,0.8923898465437655,0.8743930749713293,0.8491896868020414,0.8249729912937328,0.745530511645656,282,0.8372952222513049
30,-42,0.1,0.2,12,0.8921052093280878,0.8796295175990446,0.8748823969668269,0.8450243325373183,0.7921978258428695,282,0.8567678564548293
20,-46,0.3,0.1,12,0.891811080826389,0.8772178745053006,0.8063708483528851,0.8189410202923885,0.7037033583627392,282,0.8196088364679405
20,-38,0.1,0.25,18,0.8916370501175432,0.848936901633599,0.828957273243065,0.8293344784109734,0.6494428295222856,282,0.8096617065854932
20,-46,0.3,0.25,18,0.8913857068506168,0.8768999563823278,0.8589895356028039,0.8895921987198633,0.6805335483096903,282,0.8394801891730606
30,-38,0.2,0.4,12,0.8910740007717824,0.8920143820946196,0.8182381779827993,0.7909424927277541,0.7645946466226933,282,0.8313727400399296
20,-46,0.3,0.3,12,0.890506858220178,0.9043078309725017,0.8794518572954709,0.8869166233495221,0.8209402981083749,282,0.8764246935892095
20,-34,0.1,0.3,18,0.8903008329250194,0.860225311554457,0.8209619207501943,0.7807171775353693,0.6295840909448835,282,0.7963578667419846
20,-42,0.3,0.3,18,0.8901004733444738,0.8818237203839314,0.8532066642086531,0.8620764941488982,0.7047298042912448,282,0.8383874312754402
30,-34,0.1,0.1,18,0.8894788968915657,0.8467000095207303,0.7828937773598661,0.7000066472043402,0.39936976422110626,282,0.7236898190395216
20,-34,0.2,0.4,18,0.8891722718911278,0.8641960272898027,0.7745624304304654,0.7805800573662166,0.6704954739060298,282,0.7958012521767285
30,-38,0.2,0.25,18,0.888329393903431,0.8501162427602489,0.7776007034885827,0.7835291611594691,0.5157461232350256,282,0.7630643249093515
30,-42,0.3,0.3,18,0.8881759821395862,0.8739125247376055,0.8305409599350777,0.8464862305956525,0.6703716489689464,282,0.8218974692753737
30,-34,0.2,0.2,18,0.887504510169051,0.8572984081598347,0.7224346128876198,0.6898241788797383,0.3717545269759499,281,0.7057632474144387
30,-34,0.2,0.3,18,0.8871668712189362,0.8558962801746539,0.758737730773911,0.7414679638897824,0.519337973985494,282,0.7525213640085555
20,-38,0.1,0.1,18,0.885429630425353,0.8479981358662232,0.8181322311531839,0.7973677583897238,0.5547891809004909,282,0.780743387346995
20,-30,0.1,0.4,18,0.8853316379334029,0.8580232318653772,0.7990264485371694,0.7435922539045583,0.6346693678304437,282,0.7841285880141903
30,-42,0.3,0.1,12,0.8847912510384336,0.8625825346188524,0.7638971627704312,0.770293861028907,0.6524571951513748,282,0.7868044009215998
20,-42,0.2,0.1,12,0.8847436898141324,0.8551922133404242,0.8036821893613711,0.8013089033327789,0.704241699381793,282,0.8098337390460999
20,-46,0.3,0.1,18,0.8830992159820651,0.8737139883271394,0.7738422407662336,0.7836312296048995,0.4584811459895495,281,0.7545535641339773
30,-38,0.3,0.2,18,0.8828360437444414,0.8559909285805795,0.7329395336663969,0.7118902168483252,0.360391017836444,281,0.7088095481352374
30,-38,0.3,0.3,18,0.8828284161183774,0.8654070646781262,0.7873585605727121,0.7877075137661156,0.5420200660537234,282,0.7730643242378109
30,-38,0.3,0.4,12,0.8824253529814798,0.8811597966531867,0.8074201459161039,0.7822892348471618,0.7311144760547882,282,0.816881801290544
20,-34,0.3,0.4,18,0.882006888912947,0.8665737140264145,0.7636715801582785,0.7689269371892506,0.6048970700475514,282,0.7772152380668885
30,-46,0.3,0.1,18,0.8817689807885482,0.8797231747502308,0.7785830105287356,0.7855491995102398,0.5324775950399789,280,0.7716203921235467
20,-46,0.2,0.25,12,0.8811849215404445,0.89281528511062,0.9052382680965645,0.8950314907075066,0.8191569513064422,282,0.8786853833523155
30,-34,0.1,0.25,18,0.8806309607767052,0.8408134121992518,0.7921674949162916,0.7441864555335119,0.4861402380089024,282,0.7487877122869326
20,-42,0.2,0.4,12,0.88050807996034,0.8862479705350915,0.8723930038033039,0.8533987664728133,0.8224287950468213,282,0.862995323163674
30,-30,0.1,0.3,18,0.8797669157763153,0.8481407931479662,0.778094808279987,0.7179091436822025,0.4784266670263178,282,0.7404676655825578
30,-42,0.3,0.25,18,0.8792014894023357,0.8588789897136816,0.8153319534975276,0.8238024476869342,0.5583556971021452,282,0.7871141154805248
20,-42,0.1,0.1,12,0.8786674485260851,0.8586037162712735,0.8583491831027187,0.8293050028644011,0.7558317185887019,282,0.8361514138706362
30,-38,0.2,0.1,18,0.8785005942873297,0.8629353151661516,0.7557999987510681,0.7341456277717815,0.43699155518519445,280,0.7336746182323052
30,-38,0.1,0.1,12,0.8784652503108226,0.845534649350139,0.8261679562292575,0.7874285826189098,0.6969334818170126,282,0.8069059840652283
